STATUS | wrapper  | 2013/03/10 16:43:44 | --> Wrapper Started as Console
STATUS | wrapper  | 2013/03/10 16:43:56 |     001d7d9f333e (#1)
ERROR  | wrapper  | 2013/03/10 16:43:56 | 
STATUS | wrapper  | 2013/03/10 16:43:56 | 
STATUS | wrapper  | 2013/03/10 16:43:56 | Optional host name for license: Elliott-PC
STATUS | wrapper  | 2013/03/10 16:43:56 | <-- Wrapper Stopped
STATUS | wrapper  | 2013/03/10 16:45:56 | --> Wrapper Started as Console
STATUS | wrapper  | 2013/03/10 16:45:56 | Java Service Wrapper Community Edition 32-bit 3.5.17
STATUS | wrapper  | 2013/03/10 16:45:56 |   Copyright (C) 1999-2012 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2013/03/10 16:45:56 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2013/03/10 16:45:56 | 
STATUS | wrapper  | 2013/03/10 16:45:57 | Launching a JVM...
INFO   | jvm 1    | 2013/03/10 16:45:57 | WrapperManager: Initializing...
INFO   | jvm 1    | 2013/03/10 16:45:58 | WrapperManager: 
INFO   | jvm 1    | 2013/03/10 16:45:58 | WrapperManager: WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 1    | 2013/03/10 16:45:58 | WrapperManager:           The file is located on the path at the following location but
INFO   | jvm 1    | 2013/03/10 16:45:58 | WrapperManager:           could not be loaded:
INFO   | jvm 1    | 2013/03/10 16:45:58 | WrapperManager:             D:\Development\ComputerShutdown\bin\..\bin\native\lib64\wrapper.dll
INFO   | jvm 1    | 2013/03/10 16:45:58 | WrapperManager:           Please verify that the file is both readable and executable by the
INFO   | jvm 1    | 2013/03/10 16:45:58 | WrapperManager:           current user and that the file has not been corrupted in any way.
INFO   | jvm 1    | 2013/03/10 16:45:58 | WrapperManager:           One common cause of this problem is running a 32-bit version
INFO   | jvm 1    | 2013/03/10 16:45:58 | WrapperManager:           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 1    | 2013/03/10 16:45:58 | WrapperManager:           This is a 64-bit JVM.
INFO   | jvm 1    | 2013/03/10 16:45:58 | WrapperManager:           Reported cause:
INFO   | jvm 1    | 2013/03/10 16:45:58 | WrapperManager:             D:\Development\ComputerShutdown\bin\native\lib64\wrapper.dll: Can't load IA 32-bit .dll on a AMD 64-bit platform
INFO   | jvm 1    | 2013/03/10 16:45:58 | WrapperManager:           System signals will not be handled correctly.
INFO   | jvm 1    | 2013/03/10 16:45:58 | WrapperManager: 
INFO   | jvm 1    | 2013/03/10 16:45:58 | WrapperSimpleApp Error: Unable to locate the class main.ShutdownComputer : java.lang.ClassNotFoundException: main.ShutdownComputer
INFO   | jvm 1    | 2013/03/10 16:45:58 | 
INFO   | jvm 1    | 2013/03/10 16:45:58 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2013/03/10 16:45:58 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class{/app_method}} [app_arguments]
INFO   | jvm 1    | 2013/03/10 16:45:58 | 
INFO   | jvm 1    | 2013/03/10 16:45:58 | Where:
INFO   | jvm 1    | 2013/03/10 16:45:58 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 1    | 2013/03/10 16:45:58 |   app_arguments:  The arguments that would normally be passed to the
INFO   | jvm 1    | 2013/03/10 16:45:58 |                   application.
ERROR  | wrapper  | 2013/03/10 16:45:59 | JVM exited while loading the application.
STATUS | wrapper  | 2013/03/10 16:46:04 | Launching a JVM...
INFO   | jvm 2    | 2013/03/10 16:46:04 | WrapperManager: Initializing...
INFO   | jvm 2    | 2013/03/10 16:46:04 | WrapperManager: 
INFO   | jvm 2    | 2013/03/10 16:46:04 | WrapperManager: WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 2    | 2013/03/10 16:46:04 | WrapperManager:           The file is located on the path at the following location but
INFO   | jvm 2    | 2013/03/10 16:46:04 | WrapperManager:           could not be loaded:
INFO   | jvm 2    | 2013/03/10 16:46:04 | WrapperManager:             D:\Development\ComputerShutdown\bin\..\bin\native\lib64\wrapper.dll
INFO   | jvm 2    | 2013/03/10 16:46:04 | WrapperManager:           Please verify that the file is both readable and executable by the
INFO   | jvm 2    | 2013/03/10 16:46:04 | WrapperManager:           current user and that the file has not been corrupted in any way.
INFO   | jvm 2    | 2013/03/10 16:46:04 | WrapperManager:           One common cause of this problem is running a 32-bit version
INFO   | jvm 2    | 2013/03/10 16:46:04 | WrapperManager:           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 2    | 2013/03/10 16:46:04 | WrapperManager:           This is a 64-bit JVM.
INFO   | jvm 2    | 2013/03/10 16:46:04 | WrapperManager:           Reported cause:
INFO   | jvm 2    | 2013/03/10 16:46:04 | WrapperManager:             D:\Development\ComputerShutdown\bin\native\lib64\wrapper.dll: Can't load IA 32-bit .dll on a AMD 64-bit platform
INFO   | jvm 2    | 2013/03/10 16:46:04 | WrapperManager:           System signals will not be handled correctly.
INFO   | jvm 2    | 2013/03/10 16:46:04 | WrapperManager: 
INFO   | jvm 2    | 2013/03/10 16:46:04 | WrapperSimpleApp Error: Unable to locate the class main.ShutdownComputer : java.lang.ClassNotFoundException: main.ShutdownComputer
INFO   | jvm 2    | 2013/03/10 16:46:04 | 
INFO   | jvm 2    | 2013/03/10 16:46:04 | WrapperSimpleApp Usage:
INFO   | jvm 2    | 2013/03/10 16:46:04 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class{/app_method}} [app_arguments]
INFO   | jvm 2    | 2013/03/10 16:46:04 | 
INFO   | jvm 2    | 2013/03/10 16:46:04 | Where:
INFO   | jvm 2    | 2013/03/10 16:46:04 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 2    | 2013/03/10 16:46:04 |   app_arguments:  The arguments that would normally be passed to the
INFO   | jvm 2    | 2013/03/10 16:46:04 |                   application.
ERROR  | wrapper  | 2013/03/10 16:46:06 | JVM exited while loading the application.
STATUS | wrapper  | 2013/03/10 16:46:11 | Launching a JVM...
INFO   | jvm 3    | 2013/03/10 16:46:11 | WrapperManager: Initializing...
INFO   | jvm 3    | 2013/03/10 16:46:11 | WrapperManager: 
INFO   | jvm 3    | 2013/03/10 16:46:11 | WrapperManager: WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 3    | 2013/03/10 16:46:11 | WrapperManager:           The file is located on the path at the following location but
INFO   | jvm 3    | 2013/03/10 16:46:11 | WrapperManager:           could not be loaded:
INFO   | jvm 3    | 2013/03/10 16:46:11 | WrapperManager:             D:\Development\ComputerShutdown\bin\..\bin\native\lib64\wrapper.dll
INFO   | jvm 3    | 2013/03/10 16:46:11 | WrapperManager:           Please verify that the file is both readable and executable by the
INFO   | jvm 3    | 2013/03/10 16:46:11 | WrapperManager:           current user and that the file has not been corrupted in any way.
INFO   | jvm 3    | 2013/03/10 16:46:11 | WrapperManager:           One common cause of this problem is running a 32-bit version
INFO   | jvm 3    | 2013/03/10 16:46:11 | WrapperManager:           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 3    | 2013/03/10 16:46:11 | WrapperManager:           This is a 64-bit JVM.
INFO   | jvm 3    | 2013/03/10 16:46:11 | WrapperManager:           Reported cause:
INFO   | jvm 3    | 2013/03/10 16:46:11 | WrapperManager:             D:\Development\ComputerShutdown\bin\native\lib64\wrapper.dll: Can't load IA 32-bit .dll on a AMD 64-bit platform
INFO   | jvm 3    | 2013/03/10 16:46:11 | WrapperManager:           System signals will not be handled correctly.
INFO   | jvm 3    | 2013/03/10 16:46:11 | WrapperManager: 
INFO   | jvm 3    | 2013/03/10 16:46:11 | WrapperSimpleApp Error: Unable to locate the class main.ShutdownComputer : java.lang.ClassNotFoundException: main.ShutdownComputer
INFO   | jvm 3    | 2013/03/10 16:46:11 | 
INFO   | jvm 3    | 2013/03/10 16:46:11 | WrapperSimpleApp Usage:
INFO   | jvm 3    | 2013/03/10 16:46:11 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class{/app_method}} [app_arguments]
INFO   | jvm 3    | 2013/03/10 16:46:11 | 
INFO   | jvm 3    | 2013/03/10 16:46:11 | Where:
INFO   | jvm 3    | 2013/03/10 16:46:11 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 3    | 2013/03/10 16:46:11 |   app_arguments:  The arguments that would normally be passed to the
INFO   | jvm 3    | 2013/03/10 16:46:11 |                   application.
ERROR  | wrapper  | 2013/03/10 16:46:13 | JVM exited while loading the application.
STATUS | wrapper  | 2013/03/10 16:46:17 | Launching a JVM...
INFO   | jvm 4    | 2013/03/10 16:46:18 | WrapperManager: Initializing...
INFO   | jvm 4    | 2013/03/10 16:46:18 | WrapperManager: 
INFO   | jvm 4    | 2013/03/10 16:46:18 | WrapperManager: WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 4    | 2013/03/10 16:46:18 | WrapperManager:           The file is located on the path at the following location but
INFO   | jvm 4    | 2013/03/10 16:46:18 | WrapperManager:           could not be loaded:
INFO   | jvm 4    | 2013/03/10 16:46:18 | WrapperManager:             D:\Development\ComputerShutdown\bin\..\bin\native\lib64\wrapper.dll
INFO   | jvm 4    | 2013/03/10 16:46:18 | WrapperManager:           Please verify that the file is both readable and executable by the
INFO   | jvm 4    | 2013/03/10 16:46:18 | WrapperManager:           current user and that the file has not been corrupted in any way.
INFO   | jvm 4    | 2013/03/10 16:46:18 | WrapperManager:           One common cause of this problem is running a 32-bit version
INFO   | jvm 4    | 2013/03/10 16:46:18 | WrapperManager:           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 4    | 2013/03/10 16:46:18 | WrapperManager:           This is a 64-bit JVM.
INFO   | jvm 4    | 2013/03/10 16:46:18 | WrapperManager:           Reported cause:
INFO   | jvm 4    | 2013/03/10 16:46:18 | WrapperManager:             D:\Development\ComputerShutdown\bin\native\lib64\wrapper.dll: Can't load IA 32-bit .dll on a AMD 64-bit platform
INFO   | jvm 4    | 2013/03/10 16:46:18 | WrapperManager:           System signals will not be handled correctly.
INFO   | jvm 4    | 2013/03/10 16:46:18 | WrapperManager: 
INFO   | jvm 4    | 2013/03/10 16:46:18 | WrapperSimpleApp Error: Unable to locate the class main.ShutdownComputer : java.lang.ClassNotFoundException: main.ShutdownComputer
INFO   | jvm 4    | 2013/03/10 16:46:18 | 
INFO   | jvm 4    | 2013/03/10 16:46:18 | WrapperSimpleApp Usage:
INFO   | jvm 4    | 2013/03/10 16:46:18 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class{/app_method}} [app_arguments]
INFO   | jvm 4    | 2013/03/10 16:46:18 | 
INFO   | jvm 4    | 2013/03/10 16:46:18 | Where:
INFO   | jvm 4    | 2013/03/10 16:46:18 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 4    | 2013/03/10 16:46:18 |   app_arguments:  The arguments that would normally be passed to the
INFO   | jvm 4    | 2013/03/10 16:46:18 |                   application.
ERROR  | wrapper  | 2013/03/10 16:46:20 | JVM exited while loading the application.
STATUS | wrapper  | 2013/03/10 16:46:24 | Launching a JVM...
INFO   | jvm 5    | 2013/03/10 16:46:24 | WrapperManager: Initializing...
INFO   | jvm 5    | 2013/03/10 16:46:25 | WrapperManager: 
INFO   | jvm 5    | 2013/03/10 16:46:25 | WrapperManager: WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 5    | 2013/03/10 16:46:25 | WrapperManager:           The file is located on the path at the following location but
INFO   | jvm 5    | 2013/03/10 16:46:25 | WrapperManager:           could not be loaded:
INFO   | jvm 5    | 2013/03/10 16:46:25 | WrapperManager:             D:\Development\ComputerShutdown\bin\..\bin\native\lib64\wrapper.dll
INFO   | jvm 5    | 2013/03/10 16:46:25 | WrapperManager:           Please verify that the file is both readable and executable by the
INFO   | jvm 5    | 2013/03/10 16:46:25 | WrapperManager:           current user and that the file has not been corrupted in any way.
INFO   | jvm 5    | 2013/03/10 16:46:25 | WrapperManager:           One common cause of this problem is running a 32-bit version
INFO   | jvm 5    | 2013/03/10 16:46:25 | WrapperManager:           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 5    | 2013/03/10 16:46:25 | WrapperManager:           This is a 64-bit JVM.
INFO   | jvm 5    | 2013/03/10 16:46:25 | WrapperManager:           Reported cause:
INFO   | jvm 5    | 2013/03/10 16:46:25 | WrapperManager:             D:\Development\ComputerShutdown\bin\native\lib64\wrapper.dll: Can't load IA 32-bit .dll on a AMD 64-bit platform
INFO   | jvm 5    | 2013/03/10 16:46:25 | WrapperManager:           System signals will not be handled correctly.
INFO   | jvm 5    | 2013/03/10 16:46:25 | WrapperManager: 
INFO   | jvm 5    | 2013/03/10 16:46:25 | WrapperSimpleApp Error: Unable to locate the class main.ShutdownComputer : java.lang.ClassNotFoundException: main.ShutdownComputer
INFO   | jvm 5    | 2013/03/10 16:46:25 | 
INFO   | jvm 5    | 2013/03/10 16:46:25 | WrapperSimpleApp Usage:
INFO   | jvm 5    | 2013/03/10 16:46:25 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class{/app_method}} [app_arguments]
INFO   | jvm 5    | 2013/03/10 16:46:25 | 
INFO   | jvm 5    | 2013/03/10 16:46:25 | Where:
INFO   | jvm 5    | 2013/03/10 16:46:25 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 5    | 2013/03/10 16:46:25 |   app_arguments:  The arguments that would normally be passed to the
INFO   | jvm 5    | 2013/03/10 16:46:25 |                   application.
ERROR  | wrapper  | 2013/03/10 16:46:26 | JVM exited while loading the application.
FATAL  | wrapper  | 2013/03/10 16:46:27 | There were 5 failed launches in a row, each lasting less than 300 seconds.  Giving up.
FATAL  | wrapper  | 2013/03/10 16:46:27 |   There may be a configuration problem: please check the logs.
STATUS | wrapper  | 2013/03/10 16:46:27 | <-- Wrapper Stopped
STATUS | wrapper  | 2013/03/10 16:47:00 | --> Wrapper Started as Console
STATUS | wrapper  | 2013/03/10 16:47:00 | Java Service Wrapper Community Edition 32-bit 3.5.17
STATUS | wrapper  | 2013/03/10 16:47:00 |   Copyright (C) 1999-2012 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2013/03/10 16:47:00 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2013/03/10 16:47:00 | 
STATUS | wrapper  | 2013/03/10 16:47:00 | Launching a JVM...
INFO   | jvm 1    | 2013/03/10 16:47:01 | WrapperManager: Initializing...
INFO   | jvm 1    | 2013/03/10 16:47:01 | WrapperManager: 
INFO   | jvm 1    | 2013/03/10 16:47:01 | WrapperManager: WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 1    | 2013/03/10 16:47:01 | WrapperManager:           The file is located on the path at the following location but
INFO   | jvm 1    | 2013/03/10 16:47:01 | WrapperManager:           could not be loaded:
INFO   | jvm 1    | 2013/03/10 16:47:01 | WrapperManager:             D:\Development\ComputerShutdown\bin\..\bin\native\lib64\wrapper.dll
INFO   | jvm 1    | 2013/03/10 16:47:01 | WrapperManager:           Please verify that the file is both readable and executable by the
INFO   | jvm 1    | 2013/03/10 16:47:01 | WrapperManager:           current user and that the file has not been corrupted in any way.
INFO   | jvm 1    | 2013/03/10 16:47:01 | WrapperManager:           One common cause of this problem is running a 32-bit version
INFO   | jvm 1    | 2013/03/10 16:47:01 | WrapperManager:           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 1    | 2013/03/10 16:47:01 | WrapperManager:           This is a 64-bit JVM.
INFO   | jvm 1    | 2013/03/10 16:47:01 | WrapperManager:           Reported cause:
INFO   | jvm 1    | 2013/03/10 16:47:01 | WrapperManager:             D:\Development\ComputerShutdown\bin\native\lib64\wrapper.dll: Can't load IA 32-bit .dll on a AMD 64-bit platform
INFO   | jvm 1    | 2013/03/10 16:47:01 | WrapperManager:           System signals will not be handled correctly.
INFO   | jvm 1    | 2013/03/10 16:47:01 | WrapperManager: 
INFO   | jvm 1    | 2013/03/10 16:47:01 | WrapperSimpleApp Error: Unable to locate the class main.ShutdownComputer : java.lang.ClassNotFoundException: main.ShutdownComputer
INFO   | jvm 1    | 2013/03/10 16:47:01 | 
INFO   | jvm 1    | 2013/03/10 16:47:01 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2013/03/10 16:47:01 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class{/app_method}} [app_arguments]
INFO   | jvm 1    | 2013/03/10 16:47:01 | 
INFO   | jvm 1    | 2013/03/10 16:47:01 | Where:
INFO   | jvm 1    | 2013/03/10 16:47:01 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 1    | 2013/03/10 16:47:01 |   app_arguments:  The arguments that would normally be passed to the
INFO   | jvm 1    | 2013/03/10 16:47:01 |                   application.
ERROR  | wrapper  | 2013/03/10 16:47:02 | JVM exited while loading the application.
STATUS | wrapper  | 2013/03/10 16:47:07 | Launching a JVM...
INFO   | jvm 2    | 2013/03/10 16:47:07 | WrapperManager: Initializing...
INFO   | jvm 2    | 2013/03/10 16:47:07 | WrapperManager: 
INFO   | jvm 2    | 2013/03/10 16:47:07 | WrapperManager: WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 2    | 2013/03/10 16:47:07 | WrapperManager:           The file is located on the path at the following location but
INFO   | jvm 2    | 2013/03/10 16:47:08 | WrapperManager:           could not be loaded:
INFO   | jvm 2    | 2013/03/10 16:47:08 | WrapperManager:             D:\Development\ComputerShutdown\bin\..\bin\native\lib64\wrapper.dll
INFO   | jvm 2    | 2013/03/10 16:47:08 | WrapperManager:           Please verify that the file is both readable and executable by the
INFO   | jvm 2    | 2013/03/10 16:47:08 | WrapperManager:           current user and that the file has not been corrupted in any way.
INFO   | jvm 2    | 2013/03/10 16:47:08 | WrapperManager:           One common cause of this problem is running a 32-bit version
INFO   | jvm 2    | 2013/03/10 16:47:08 | WrapperManager:           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 2    | 2013/03/10 16:47:08 | WrapperManager:           This is a 64-bit JVM.
INFO   | jvm 2    | 2013/03/10 16:47:08 | WrapperManager:           Reported cause:
INFO   | jvm 2    | 2013/03/10 16:47:08 | WrapperManager:             D:\Development\ComputerShutdown\bin\native\lib64\wrapper.dll: Can't load IA 32-bit .dll on a AMD 64-bit platform
INFO   | jvm 2    | 2013/03/10 16:47:08 | WrapperManager:           System signals will not be handled correctly.
INFO   | jvm 2    | 2013/03/10 16:47:08 | WrapperManager: 
INFO   | jvm 2    | 2013/03/10 16:47:08 | WrapperSimpleApp Error: Unable to locate the class main.ShutdownComputer : java.lang.ClassNotFoundException: main.ShutdownComputer
INFO   | jvm 2    | 2013/03/10 16:47:08 | 
INFO   | jvm 2    | 2013/03/10 16:47:08 | WrapperSimpleApp Usage:
INFO   | jvm 2    | 2013/03/10 16:47:08 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class{/app_method}} [app_arguments]
INFO   | jvm 2    | 2013/03/10 16:47:08 | 
INFO   | jvm 2    | 2013/03/10 16:47:08 | Where:
INFO   | jvm 2    | 2013/03/10 16:47:08 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 2    | 2013/03/10 16:47:08 |   app_arguments:  The arguments that would normally be passed to the
INFO   | jvm 2    | 2013/03/10 16:47:08 |                   application.
ERROR  | wrapper  | 2013/03/10 16:47:09 | JVM exited while loading the application.
STATUS | wrapper  | 2013/03/10 16:47:14 | Launching a JVM...
INFO   | jvm 3    | 2013/03/10 16:47:14 | WrapperManager: Initializing...
INFO   | jvm 3    | 2013/03/10 16:47:14 | WrapperManager: 
INFO   | jvm 3    | 2013/03/10 16:47:14 | WrapperManager: WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 3    | 2013/03/10 16:47:14 | WrapperManager:           The file is located on the path at the following location but
INFO   | jvm 3    | 2013/03/10 16:47:14 | WrapperManager:           could not be loaded:
INFO   | jvm 3    | 2013/03/10 16:47:14 | WrapperManager:             D:\Development\ComputerShutdown\bin\..\bin\native\lib64\wrapper.dll
INFO   | jvm 3    | 2013/03/10 16:47:14 | WrapperManager:           Please verify that the file is both readable and executable by the
INFO   | jvm 3    | 2013/03/10 16:47:14 | WrapperManager:           current user and that the file has not been corrupted in any way.
INFO   | jvm 3    | 2013/03/10 16:47:14 | WrapperManager:           One common cause of this problem is running a 32-bit version
INFO   | jvm 3    | 2013/03/10 16:47:14 | WrapperManager:           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 3    | 2013/03/10 16:47:14 | WrapperManager:           This is a 64-bit JVM.
INFO   | jvm 3    | 2013/03/10 16:47:14 | WrapperManager:           Reported cause:
INFO   | jvm 3    | 2013/03/10 16:47:14 | WrapperManager:             D:\Development\ComputerShutdown\bin\native\lib64\wrapper.dll: Can't load IA 32-bit .dll on a AMD 64-bit platform
INFO   | jvm 3    | 2013/03/10 16:47:14 | WrapperManager:           System signals will not be handled correctly.
INFO   | jvm 3    | 2013/03/10 16:47:14 | WrapperManager: 
INFO   | jvm 3    | 2013/03/10 16:47:14 | WrapperSimpleApp Error: Unable to locate the class main.ShutdownComputer : java.lang.ClassNotFoundException: main.ShutdownComputer
INFO   | jvm 3    | 2013/03/10 16:47:14 | 
INFO   | jvm 3    | 2013/03/10 16:47:14 | WrapperSimpleApp Usage:
INFO   | jvm 3    | 2013/03/10 16:47:14 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class{/app_method}} [app_arguments]
INFO   | jvm 3    | 2013/03/10 16:47:14 | 
INFO   | jvm 3    | 2013/03/10 16:47:14 | Where:
INFO   | jvm 3    | 2013/03/10 16:47:14 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 3    | 2013/03/10 16:47:14 |   app_arguments:  The arguments that would normally be passed to the
INFO   | jvm 3    | 2013/03/10 16:47:14 |                   application.
ERROR  | wrapper  | 2013/03/10 16:47:16 | JVM exited while loading the application.
STATUS | wrapper  | 2013/03/10 16:47:21 | Launching a JVM...
INFO   | jvm 4    | 2013/03/10 16:47:21 | WrapperManager: Initializing...
INFO   | jvm 4    | 2013/03/10 16:47:21 | WrapperManager: 
INFO   | jvm 4    | 2013/03/10 16:47:21 | WrapperManager: WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 4    | 2013/03/10 16:47:21 | WrapperManager:           The file is located on the path at the following location but
INFO   | jvm 4    | 2013/03/10 16:47:21 | WrapperManager:           could not be loaded:
INFO   | jvm 4    | 2013/03/10 16:47:21 | WrapperManager:             D:\Development\ComputerShutdown\bin\..\bin\native\lib64\wrapper.dll
INFO   | jvm 4    | 2013/03/10 16:47:21 | WrapperManager:           Please verify that the file is both readable and executable by the
INFO   | jvm 4    | 2013/03/10 16:47:21 | WrapperManager:           current user and that the file has not been corrupted in any way.
INFO   | jvm 4    | 2013/03/10 16:47:21 | WrapperManager:           One common cause of this problem is running a 32-bit version
INFO   | jvm 4    | 2013/03/10 16:47:21 | WrapperManager:           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 4    | 2013/03/10 16:47:21 | WrapperManager:           This is a 64-bit JVM.
INFO   | jvm 4    | 2013/03/10 16:47:21 | WrapperManager:           Reported cause:
INFO   | jvm 4    | 2013/03/10 16:47:21 | WrapperManager:             D:\Development\ComputerShutdown\bin\native\lib64\wrapper.dll: Can't load IA 32-bit .dll on a AMD 64-bit platform
INFO   | jvm 4    | 2013/03/10 16:47:21 | WrapperManager:           System signals will not be handled correctly.
INFO   | jvm 4    | 2013/03/10 16:47:21 | WrapperManager: 
INFO   | jvm 4    | 2013/03/10 16:47:21 | WrapperSimpleApp Error: Unable to locate the class main.ShutdownComputer : java.lang.ClassNotFoundException: main.ShutdownComputer
INFO   | jvm 4    | 2013/03/10 16:47:21 | 
INFO   | jvm 4    | 2013/03/10 16:47:21 | WrapperSimpleApp Usage:
INFO   | jvm 4    | 2013/03/10 16:47:21 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class{/app_method}} [app_arguments]
INFO   | jvm 4    | 2013/03/10 16:47:21 | 
INFO   | jvm 4    | 2013/03/10 16:47:21 | Where:
INFO   | jvm 4    | 2013/03/10 16:47:21 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 4    | 2013/03/10 16:47:21 |   app_arguments:  The arguments that would normally be passed to the
INFO   | jvm 4    | 2013/03/10 16:47:21 |                   application.
